Dylan Fellows  Attacker 70
Hunter Jia  Attacker 24
Ekkebert Dhebar  Attacker 38
Nicholas Orlando  Attacker 73
Owen Vinci  Attacker 89
Sheldon Fujimoto  Attacker 34
Adrien Hollister  Midfield 87
Omiros Cardy  Midfield 76
Nicholas Hays  Midfield 70
Isaac Jackson  Midfield 17
Hieremias Sims  Midfield 61
Easton Gnanadesikan  Midfield 59
Gautam Susskind  Midfield 18
Mitra Collins  Defender 82
Abbas Dhebar  Defender 18
Kyson Khalil  Defender 24
Regina Haynes  Defender 17
Demarion Stevens  Defender 51
Remigio Gnanadesikan  Defender 29
Dominic Fellows  Defender 87
Bailey Stein  Defender 73
Greyson Syrus  Goalkeeper 94
